Sezione 1 ;Sezione 2 ;Domanda;Sotto domanda;Risposta 
Alloggi on campus ;Domanda Alloggi ;Posso confermare il mio alloggio per il prossimo anno accademico 2023-24?;Posso confermare il mio alloggio per il prossimo anno accademico 2023-24?;Se sei già ospite in una delle residenze Bocconi e sei interessato a rimanere nello stesso alloggio anche per il prossimo anno accademico, puoi verificare le informazioni relative alla Domanda di Conferma alloggio. La conferma alloggio è riferita alla stessa camera da te già occupata durante l’a.a. 2022-23. Gli alloggi verranno confermati per il periodo di assegnazione standard (fine agosto 2023-fine giugno 2024), che risponde alle necessità accademiche della maggior parte degli studenti.
Alloggi on campus ;Domanda Alloggi ;Posso confermare il mio alloggio per il prossimo anno accademico 2023-24?;1. Requisiti per la presentazione della domanda di conferma;"Conferma alloggio a tariffa intera
Per poter confermare l’alloggio dovrai:

Risultare già ospite in residenza a tariffa intera alla data di apertura della domanda

Aver conseguito entro la sessione di esami invernale a.a. 2022-23 almeno il numero di crediti indicato di seguito:

- 11 crediti per gli iscritti al primo anno (Triennio, Biennio, CLMG) nell’a.a. 2022-23
- 60 crediti per gli iscritti al secondo anno (Triennio, CLMG) nell’a.a. 2022-23
-120 crediti per gli iscritti nell’a.a. 2022-23 al terzo anno di un corso di laurea triennale che intendano immatricolarsi per l’a.a. 2023-24 al primo anno di un corso di laurea magistrale in Bocconi, oppure gli iscritti nell’a.a. 2022-23 al terzo anno di CLMG
- 180 crediti per gli iscritti al quarto anno CLMG nell’a.a. 2022-23
- 240 crediti per gli iscritti al quinto anno CLMG nell’a.a. 2022-23
NON è previsto l’utilizzo di crediti bonus in aggiunta ai crediti effettivamente conseguiti dallo studente


Dichiarare di volerti iscrivere per l’a.a. 2023-24 per la prima volta in assoluto a un anno di corso regolare successivo al primo di un corso di laurea triennale, laurea magistrale a ciclo unico, laurea magistrale o Dottorato di Ricerca. I Bocconiani iscritti al 3° anno di un corso di laurea triennale nell’ a.a. 2022-23 possono confermare l'alloggio se nell'a.a. 2023-24 si immatricoleranno al 1° anno di un corso di laurea magistrale in Bocconi.

Essere fuori sede cioè non residente in un comune “in sede” (pdf) o “pendolare” (pdf)

Non rientrare in nessuno dei motivi di esclusione previsti e dettagliati sul sito.

Se soddisferai tutti i requisiti previsti e sopra indicati, ti verrà confermato per l’a.a. 2023-24 lo stesso alloggio da te occupato nell’a.a. 2022-23.

 
Conferma alloggio a tariffa agevolata
Per poter confermare l’alloggio dovrai:

Risultare già ospite in residenza a tariffa agevolata alla data di apertura della domanda

Aver conseguito entro la sessione di esami invernale a.a. 2022-23 almeno il numero di crediti indicato di seguito:
- 11 crediti per gli iscritti al primo anno (Triennio, Biennio, CLMG) nell’a.a. 2022-23
- 60 crediti per gli iscritti al secondo anno (Triennio, Biennio, CLMG) nell’a.a. 2022-23
- 120 crediti per gli iscritti al terzo anno (Triennio, CLMG) nell’a.a. 2022-23
-120 crediti per gli iscritti al 1° anno fuori corso di un corso di laurea triennale nell’a.a. 2022-23 che intendano immatricolarsi per l’a.a. 2023-24 al primo anno di un corso di laurea magistrale in Bocconi
- 180 crediti per gli iscritti al quarto anno CLMG nell’a.a. 2022-23
- 240 crediti per gli iscritti al quinto anno CLMG nell’a.a. 2022-23
NON è previsto l’utilizzo di crediti bonus in aggiunta ai crediti effettivamente conseguiti dallo studente


Dichiarare di volerti iscrivere per l’a.a. 2023-24 per la prima volta in assoluto a un anno di corso regolare successivo al primo di un corso di laurea triennale, laurea magistrale a ciclo unico, laurea magistrale o Dottorato di Ricerca oppure al 1° anno fuori corso di un corso di laurea triennale, magistrale o magistrale a ciclo unico. I Bocconiani iscritti al 3° anno oppure al 1° anno fuori corso di un corso di laurea triennale nell’ a.a. 2022-23 possono confermare l'alloggio se nell'a.a. 2023-24 si immatricoleranno al 1° anno di un corso di laurea magistrale in Bocconi.

Essere in possesso dei requisiti economici stabiliti da Regione Lombardia per l’accesso ai benefici del diritto allo studio universitario per l’a.a. 2023-24 e della relativa documentazione necessaria: consulta la pagina dedicata per tutte le informazioni. Se per l’a.a. 2023-24 sei in possesso di un'Attestazione ISEE/ISEEU parificato con valori ISEE/ISEEU parificato e/o ISPE/ISPEU parificato superiori ai limiti previsti, puoi chiedere di confermare il tuo alloggio a tariffa intera (link)

Essere fuori sede cioè non residente in un comune “in sede” (pdf) o “pendolare” (pdf)

Non rientrare in nessuno dei motivi di esclusione previsti e dettagliati sul sito.

Se soddisferai tutti i requisiti previsti e sopra indicati, ti verrà confermato per l’a.a. 2023-24 lo stesso alloggio da te occupato nell’a.a. 2022-23."
Alloggi on campus ;Domanda Alloggi ;Posso confermare il mio alloggio per il prossimo anno accademico 2023-24?;2. Presentazione della domanda;"Application online conferma alloggio (tariffa intera e tariffa agevolata)
9-23 febbraio 2023"
Alloggi on campus ;Domanda Alloggi ;Posso confermare il mio alloggio per il prossimo anno accademico 2023-24?;3. Requisiti che dovrai rispettare per usufruire dell'alloggio assegnato;"Gli studenti assegnatari di alloggio per l’a.a. 2023-24 potranno usufruire dell’alloggio assegnato soltanto in presenza delle seguenti condizioni:

REGOLARE ISCRIZIONE/IMMATRICOLAZIONE all'a.a. 2023-24

>immatricolazione per l’a.a. 2023-24 per la prima volta in assoluto al primo anno regolare di corso di un corso di laurea magistrale (ovvero Bocconiani di triennio che passino al 1° anno di biennio)

oppure

>iscrizione per l’a.a. 2023-24 per la prima volta in assoluto ad un anno di corso regolare successivo al primo di un corso di laurea triennale, magistrale, magistrale a ciclo unico o ad un corso di Dottorato di Ricerca. SOLO per la tariffa agevolata: potranno usufruire dell'alloggio anche gli studenti iscritti al 1° anno fuori corso di un corso di laurea triennale, magistrale, magistrale a ciclo unico.

Si specifica che gli studenti in situazione di handicap riconosciuto ai sensi della legge n.104/1992 o con invalidità pari o superiore al 66% possono risiedere in un alloggio anche se iscritti per l’a.a. 2023-24 al 2° anno fuori corso di un corso di laurea triennale, magistrale, magistrale a ciclo unico.

Si precisa che gli anni di immatricolazione/iscrizione vengono conteggiati per ciascuno ciclo di studio a partire dall’anno di prima immatricolazione assoluta*.

REQUISITO DI MERITO

Ai fini dell’idoneità ad usufruire dell’alloggio, si applicano le regole previste in tema di requisiti di merito e dettagliate sulla pagina dedicata del sito.

 

Gli studenti assegnatari di alloggio per i quali fosse successivamente accertata la mancata regolare immatricolazione/iscrizione all’a.a. 2023-24 o il mancato possesso dei requisiti di merito perdono il diritto (idoneità) ad usufruire del Servizio Alloggi per l’a.a. 2023-2024.

L’avvenuta assegnazione sarà cancellata d’ufficio e gli studenti saranno tenuti a lasciare immediatamente l’alloggio assegnato. Si specifica che i pagamenti dovuti rimarranno a carico dello studente anche in caso di cancellazione dell’assegnazione. Per tale motivo si invitano gli studenti a porre particolare attenzione, prima di presentare domanda di alloggio, alle disposizioni in tema di cancellazione specificate sulla pagina dedicata del sito."
Alloggi on campus ;Domanda Alloggi ;Come posso richiedere l'assegnazione di un alloggio a tariffa agevolata per il prossimo anno accademico 2023-24?;Come posso richiedere l'assegnazione di un alloggio a tariffa agevolata per il prossimo anno accademico 2023-24?;"Se sei interessato a presentare domanda di nuova ammissione in alloggio a tariffa agevolata per l'a.a. 2023-24 verifica qui tutte le informazioni necessarie.

Attraverso la domanda di nuova ammissione in alloggio a tariffa agevolata verranno assegnati alloggi per il periodo di assegnazione standard (fine agosto 2023 — fine giugno 2024).

Attraverso questa domanda verranno assegnati i posti rimasti liberi successivamente alla Domanda di conferma a tariffa agevolata ed entro il numero di posti letto così come definiti sul Bando di Concorso alloggi 2023-2024 (intesi come numero totale e numero di posti specifico per singola residenza)."
Alloggi on campus ;Domanda Alloggi ;Come posso richiedere l'assegnazione di un alloggio a tariffa agevolata per il prossimo anno accademico 2023-24?;1. Requisiti per la presentazione della domanda;"Per poter presentare domanda di nuova ammissione in alloggio a tariffa agevolata per l’a.a. 2023-24 dovrai:

Matricole

> essere immatricolato per la prima volta in assoluto per l’a.a. 2023-24 al primo anno di un regolare corso di laurea triennale, laurea magistrale a ciclo unico, laurea magistrale o Dottorato di Ricerca.

Anni successivi

> dichiarare di volerti iscrivere per l’a.a. 2023-24 per la prima volta in assoluto a un anno di corso regolare successivo al primo di un corso di laurea, laurea magistrale a ciclo unico, laurea magistrale o Dottorato di Ricerca oppure al 1° anno fuori corso di un corso di laurea triennale, magistrale e magistrale a ciclo unico. Se sei uno studente Bocconiano iscritto nell'a.a. 2022-23 al 3° anno regolare oppure al 1° anno fuori corso di un corso di laurea triennale, dovrai dichiarare di presentare domanda di ammissione a un corso di laurea magistrale per l'a.a. 2023-24.
> aver conseguito entro la sessione di esami invernale a.a. 2022-23 almeno il numero di crediti indicato di seguito:
- 11 crediti per gli iscritti al primo anno (Triennio, Biennio, CLMG) nell’a.a. 2022-23
- 60 crediti per gli iscritti al secondo anno (Triennio, Biennio, CLMG) nell’a.a. 2022-23
- 120 crediti per gli iscritti al terzo anno (Triennio, CLMG) nell’a.a. 2022-23
- 120 crediti per gli iscritti al 1° anno fuori corso di un corso di laurea triennale nell’a.a. 2022-23 che intendano immatricolarsi per l’a.a. 2023-24 al primo anno di un corso di laurea magistrale in Bocconi
- 180 crediti per gli iscritti al quarto anno CLMG nell’a.a. 2022-23
- 240 crediti per gli iscritti al quinto anno CLMG nell’a.a. 2022-23

NON è previsto l’utilizzo di crediti bonus in aggiunta ai crediti effettivamente conseguiti dallo studente.


Tutti gli studenti

> essere in possesso dei requisiti economici per l’accesso ai benefici del Diritto allo Studio Universitario previsti dalla Regione Lombardia per l’a.a. 2023-24 e della relativa documentazione necessaria: consulta la pagina dedicata per tutte le informazioni. Gli studenti che non siano in possesso dei requisiti economici previsti non potranno essere assegnatari di un alloggio a tariffa agevolata e saranno esclusi. I richiedenti potranno quindi presentare domanda di alloggio a tariffa intera secondo le tempistiche e modalità previste.

> essere fuori sede cioè non residente in un comune “in sede” (pdf) o “pendolare” (pdf)

> non rientrare in nessuno dei motivi di esclusione


Gli studenti che risulteranno idonei per la nuova ammissione in alloggio a tariffa agevolata per l’a.a. 2023-24 riceveranno l’assegnazione di un alloggio. Nel caso in cui il numero dei richiedenti superi il numero dei posti disponibili, l'assegnazione avverrà in base alla graduatoria seguendo l'ordine descritto nel Bando di Concorso alloggi a.a. 2023-24."
Alloggi on campus ;Domanda Alloggi ;Come posso richiedere l'assegnazione di un alloggio a tariffa agevolata per il prossimo anno accademico 2023-24?;2. Presentazione della domanda;"Domanda di nuova ammissione in alloggio a tariffa agevolata a.a. 2023-24
Dal 9 al 19 marzo 2023"
Alloggi on campus ;Domanda Alloggi ;Come posso richiedere l'assegnazione di un alloggio a tariffa agevolata per il prossimo anno accademico 2023-24?;3. Requisiti che dovrai rispettare per usufruire dell'alloggio assegnato;"Gli studenti assegnatari di alloggio a seguito della procedura sopra descritta per l’a.a. 2023-24 potranno usufruire dell’alloggio assegnato soltanto in presenza delle seguenti condizioni:

REGOLARE IMMATRICOLAZIONE/ISCRIZIONE per l'a.a. 2023-24

>immatricolazione per l’a.a. 2023-24 per la prima volta in assoluto al primo anno regolare di un corso di laurea triennale, laurea magistrale a ciclo unico, laurea magistrale o Dottorato di Ricerca.

oppure

>iscrizione per l’a.a. 2023-24 per la prima volta in assoluto ad un anno di corso regolare successivo al primo di un corso di laurea triennale, magistrale, magistrale a ciclo unico o ad un corso di Dottorato di Ricerca. Potranno usufruire dell'alloggio anche gli studenti iscritti al 1° anno fuori corso di un corso di laurea triennale, magistrale, magistrale a ciclo unico.

Si specifica che gli studenti in situazione di handicap riconosciuto ai sensi della legge n.104/1992 o con invalidità pari o superiore al 66% possono risiedere in un alloggio anche se iscritti per l’a.a. 2023-24 al 2° anno fuori corso di un corso di laurea triennale, magistrale, magistrale a ciclo unico.

Si precisa che gli anni di immatricolazione/iscrizione vengono conteggiati per ciascuno ciclo di studio a partire dall’anno di prima immatricolazione assoluta*.


REQUISITO DI MERITO

Ai fini dell’idoneità ad usufruire dell’alloggio, si applicano le regole previste in tema di requisiti di merito e dettagliate sulla pagina dedicata del sito.


Gli studenti assegnatari di alloggio per i quali fosse successivamente accertata la mancata regolare immatricolazione/iscrizione all’a.a. 2023-24 o il mancato possesso dei requisiti di merito perdono il diritto (idoneità) ad usufruire del Servizio Alloggi per l’a.a. 2023-2024.

L’avvenuta assegnazione sarà cancellata d’ufficio e gli studenti saranno tenuti a lasciare immediatamente l’alloggio assegnato. Si specifica che i pagamenti dovuti rimarranno a carico dello studente anche in caso di cancellazione dell’assegnazione. Per tale motivo si invitano gli studenti a porre particolare attenzione, prima di presentare domanda di alloggio, alle disposizioni in tema di cancellazione specificate sulla pagina dedicata del sito.


Attenzione

Se per l’a.a. 2023-24 presenti domanda di nuova ammissione a tariffa agevolata e anche domanda di nuova ammissione a tariffa intera, ottenendo l’assegnazione di un alloggio in quella fase, vedrai annullata ogni domanda e/o assegnazione a tariffa agevolata. La tua assegnazione per l’a.a. 2023-2024 sarà a tariffa intera.

Per tutto il periodo in cui lo studente è ospite di una residenza Bocconi non è consentito il cambio camera. È invece facoltà dell’Università Bocconi trasferire l’ospite anche in corso d’anno in altra struttura abitativa alla tariffa prevista per la residenza di destinazione.

L’assegnazione dell’alloggio per l’a.a. 2023-2024 viene concessa per il solo anno accademico di presentazione della domanda, non è pertanto automaticamente concessa per gli anni accademici successivi ma costituisce responsabilità dello studente verificare l’eventuale possibilità di conferma e provvedere alle successive domande di assegnazione nei modi che saranno previsti dai Bandi di Concorso alloggi di ciascun anno accademico di interesse."
Alloggi on campus ;Domanda Alloggi ;Vorrei prenotare un alloggio a tariffa intera per l'a.a. 2023-24. Come posso procedere?;Vorrei prenotare un alloggio a tariffa intera per l'a.a. 2023-24. Come posso procedere?;Se sei uno studente iscritto e sei interessato all'assegnazione di un alloggio a tariffa intera per l'a.a. 2023-24, potrai partecipare alle diverse sessioni di Open reservation mensili che verranno messe a disposizione degli studenti: le prime sessioni si svolgeranno a partire da metà settembre 2023.
Alloggi on campus ;Domanda Alloggi ;Ho bisogno di una dichiarazione relativa alla mia assegnazione alloggio. Come posso chiederla?;Ho bisogno di una dichiarazione relativa alla mia assegnazione alloggio. Come posso chiederla?;"Ti suggeriamo di stampare l'esito presente in Myapplication.

Qualora il documento di cui sopra non fosse sufficiente, ti chiediamo di indicarci quali sono gli elementi che mancano nell'esito e che per te sono necessari, di indicarci inoltre la finalità della dichiarazione e a chi deve essere indirizzata.

Precisiamo che il documento verrà rilasciato entro 5 giorni lavorativi."
